PARACENTESE ABDOMINAL,,,,AMB,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
PARACENTESE ABDOMINAL LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
RECONSTRUÇÃO DA PAREDE ABDOMINAL COM RETALHO MUSCULAR OU MIOCUTÂNEO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
REPARAÇÃO DE OUTRAS HÉRNIAS (INCLUI HERNIORRAFIA MUSCULAR),,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
RESSECÇÃO DE CISTO OU FÍSTULA DE ÚRACO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
RESSECÇÃO DE CISTO OU FÍSTULA OU RESTOS DO DUCTO ONFALOMESENTÉRICO,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
RESSUTURA DA PAREDE ABDOMINAL (POR DEISCÊNCIA TOTAL OU EVISCERAÇÃO),,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
TERATOMA SACRO-COCCÍGEO - EXÉRESE,,,,,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
VIDEOLAPAROSCOPIA PARA DIAGNÓSTICO COM OU SEM BIÓPSIAS E PARA OS PROCEDIMENTOS DE,,,,,,,,,,,
"DRENAGEM DE COLEÇÕES, LIBERAÇÃO DE BRIDAS/ADERÊNCIAS E/OU RAFIAS",,,,AMB,HCO,HSO,REF,,,"ABDOME, PAREDE E CAVIDADE",SISTEMA DIGESTIVO E ANEXOS
ABSCESSO RENAL OU PERI-RENAL - DRENAGEM PERCUTÂNEA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ABSCESSO RENAL OU PERI-RENAL DRENAGEM CIRÚRGICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ADRENALECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ADRENALECTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ANGIOPLASTIA RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ANGIOPLASTIA RENAL TRANSLUMINAL,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
AUTOTRANSPLANTE RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
BIÓPSIA RENAL CIRÚRGICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
CISTO RENAL - ESCLEROTERAPIA PERCUTÂNEA,,,,AMB,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ENDOPIELOTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
ESTENOSE DE JUNÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
FÍSTULA PIELO-CUTÂNEA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
LOMBOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
MARSUPIALIZAÇÃO DE CISTOS RENAIS,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
NEFRECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFRECTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFRECTOMIA COM URETERECTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFRO OU PIELOENTEROCISTOSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
"NEFROLITOTOMIA SIMPLES, ANATRÓFICA OU PERCUTÂNEA",,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROLITOTRIPSIA EXTRACORPÓREA,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROLITOTRIPSIA PERCUTÂNEA (PNEUMÁTICA OU PNEUMÁTICO-BALÍSTICA – MEC; ELETROHIDRÁULICA -,,,,,,,,,,,
E.H.; OU ULTRASSOM - U.S.),,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROLITOTRIPSIA PERCUTÂNEA A LASER,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROPEXIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROPEXIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFRORRAFIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROSTOMIA PERCUTÂNEA,,,,AMB,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOLITOTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOLITOTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOLITOTOMIA COM NEFROLITOTOMIA SIMPLES OU ANATRÓFICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOPLASTIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
PIELOPLASTIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOSTOMIA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PIELOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PUNÇÃO ASPIRATIVA RENAL PARA DIAGNÓSTICO DE REJEIÇÃO,,,,,HCO,HSO,REF,PAC,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
PUNÇÃO BIÓPSIA RENAL PERCUTÂNEA,,,,AMB,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
REVASCULARIZAÇÃO RENAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
SINFISIOTOMIA (RIM EM FERRADURA),,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
TRANSURETERO ANASTOMOSE,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
TRATAMENTO CIRÚRGICO DA FÍSTULA PIELO-INTESTINAL,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
TUMOR RENAL - ENUCLEAÇÃO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
TUMOR WILMS - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
TUMORES RETRO-PERITONEAIS - EXÉRESE,,,,,HCO,HSO,REF,,,"RIM, BACINETE E SUPRA-RENAL",SISTEMA URINÁRIO
BIÓPSIA CIRÚRGICA DE URETER,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
BIÓPSIA ENDOSCÓPICA DE URETER,,,,AMB,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
CATETERISMO URETERAL,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
COLOCAÇÃO CIRÚRGICA DE DUPLO J,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
COLOCAÇÃO ENDOSCÓPICA DE DUPLO J,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
COLOCAÇÃO NEFROSCÓPICA DE DUPLO J,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
COLOCAÇÃO URETEROSCÓPICA DE DUPLO J,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
CORREÇÃO LAPAROSCÓPICA DE REFLUXO VÉSICO-URETERAL,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
DILATAÇÃO ENDOSCÓPICA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
DUPLICAÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
FÍSTULA URETERO-CUTÂNEA (TRATAMENTO CIRÚRGICO),,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
FÍSTULA URETERO-INTESTINAL (TRATAMENTO CIRÚRGICO),,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
FÍSTULA URETERO-VAGINAL (TRATAMENTO CIRÚRGICO),,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
MEATOTOMIA ENDOSCÓPICA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
REFLUXO VÉSICO-URETERAL - TRATAMENTO ENDOSCÓPICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,,122,URETER,SISTEMA URINÁRIO
"REIMPLANTE URETERAL POR VIA EXTRA, INTRA OU TRANSVESICAL",,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
REIMPLANTE URETEROINTESTINAL,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
REIMPLANTE URETEROINTESTINAL LAPAROSCÓPICO,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
REIMPLANTE URETERO-VESICAL,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
REIMPLANTE URETERO-VESICAL LAPAROSCÓPICO,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
RETIRADA ENDOSCÓPICA DE CÁLCULO DE URETER,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
TRANSURETEROSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETERECTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROCELE -TRATAMENTO CIRURGICO OU ENDOSCOPICO,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROILEOCISTOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROILEOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
URETERÓLISE,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROLITOTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROLITOTRIPSIA EXTRACORPÓREA,,,,,HCO,HSO,REF,PAC,,URETER,SISTEMA URINÁRIO
URETEROPLASTIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETERORRENOLITOTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETERORRENOLITOTRIPSIA A LASER,,,,,HCO,HSO,REF,PAC,,URETER,SISTEMA URINÁRIO
"URETERORRENOLITOTRIPSIA FLEXÍVEL OU RÍGIDA (MEC., E.H., OU US)",,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROSSIGMOIDOPLASTIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROSSIGMOIDOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROSTOMIA CUTÂNEA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROTOMIA INTERNA PERCUTÂNEA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROTOMIA INTERNA URETEROSCÓPICA FLEXÍVEL OU RÍGIDA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROURETEROCISTONEOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROURETEROSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
URETEROURETEROSTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO
AMPLIAÇÃO VESICAL,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
BEXIGA PSÓICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
BIÓPSIA ENDOSCÓPICA DE BEXIGA,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
BIÓPSIA VESICAL A CÉU ABERTO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
CÁLCULO VESICAL - EXTRAÇÃO ENDOSCÓPICA,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTECTOMIA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTECTOMIA LAPAROSCÓPICA (INCLUI PRÓSTATA OU ÚTERO),,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOLITOTOMIA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOLITOTRIPSIA A LASER,,,,,HCO,HSO,REF,PAC,,BEXIGA,SISTEMA URINÁRIO
CISTOLITOTRIPSIA EXTRACORPÓREA,,,,,HCO,HSO,REF,PAC,,BEXIGA,SISTEMA URINÁRIO
"CISTOLITOTRIPSIA PERCUTÂNEA (U.S., E.H., E.C.)",,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
"CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.)",,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOPLASTIA REDUTORA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTORRAFIA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOSTOMIA CIRÚRGICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CISTOSTOMIA POR PUNÇÃO COM TROCATER,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
COLO VESICAL - RESSECÇÃO ENDOSCÓPICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
DIVERTICULECTOMIA VESICAL,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL),,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
"INCONTINÊNCIA URINÁRIA - ""SLING"" VAGINAL OU ABDOMINAL, SINTÉTICO OU AUTÓLOGO",,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
INCONTINÊNCIA URINÁRIA - SUSPENSÃO ENDOSCÓPICA DE COLO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SUPRA-PÚBICO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
INCONTINÊNCIA URINÁRIA COM COLPOPLASTIA ANTERIOR - TRATAMENTO CIRÚRGICO (COM OU SEM USO DE,,,,,,,,,,,
PRÓTESE),,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
INCONTINÊNCIA URINÁRIA - TRATAMENTO ENDOSCÓPICO (INJEÇÃO),,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
"NEOBEXIGA CONTINENTE (CUTÂNEA, RETAL OU URETRAL)",,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PÓLIPOS VESICAIS - RESSECÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PÓLIPOS VESICAIS - RESSECÇÃO ENDOSCÓPICA,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PUNÇÃO E ASPIRAÇÃO VESICAL,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
REIMPLANTE URETERO-VESICAL À BOARI,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
RETENÇÃO POR COÁGULO - ASPIRAÇÃO VESICAL,,,,AMB,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
RETIRADA ENDOSCÓPICA DE DUPLO J,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
TUMOR VESICAL - FOTOCOAGULAÇÃO A LASER,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
TUMOR VESICAL - RESSECÇÃO ENDOSCÓPICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
TRATAMENTO DA HIPERATIVIDADE VESICAL: INJEÇÃO INTRAVESICAL DE TOXINA BOTULÍNICA (COM DIRETRIZ,,,,,,,,,,,
DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,73,BEXIGA,SISTEMA URINÁRIO
VESICOSTOMIA CUTÂNEA - CONFECÇÃO OU FECHAMENTO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
ABSCESSO PERIURETRAL - TRATAMENTO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
BIÓPSIA ENDOSCÓPICA DE URETRA,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO ENDOSCÓPICA,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
DIVERTÍCULO URETRAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
ELETROCOAGULAÇÃO ENDOSCÓPICA,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
ESFINCTEROTOMIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
FÍSTULA URETRAL - CORREÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SLING OU ESFÍNCTER ARTIFICIAL (COM DIRETRIZ DE,,,,,HCO,HSO,REF,,48,URETRA,SISTEMA URINÁRIO
UTILIZAÇÃO),,,,,,,,,,,
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO (EXCETO ESFÍNCTER ARTIFICIAL),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
MEATOPLASTIA (RETALHO CUTÂNEO),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
MEATOTOMIA URETRAL,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
NEOURETRA PROXIMAL (CISTOURETROPLASTIA),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
RESSECÇÃO DE CARÚNCULA,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
RESSECÇÃO DE VÁLVULA URETRAL POSTERIOR,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
TUMOR URETRAL - EXCISÃO,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
URETRECTOMIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
URETROPLASTIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
URETROSTOMIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
URETROTOMIA INTERNA COM OU SEM PRÓTESE ENDOURETRAL,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO
ABSCESSO DE PRÓSTATA - DRENAGEM,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
ADENOMA - RESSECÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR
BIÓPSIA PROSTÁTICA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
FOTOVAPORIZAÇÃO DE PRÓSTATA A LASER POR VIA ENDOSCÓPICA,582/2023,01/08/2023,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
HEMORRAGIA DA LOJA PROSTÁTICA - EVACUAÇÃO E IRRIGAÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
HEMORRAGIA DA LOJA PROSTÁTICA - REVISÃO E/OU HEMOSTASIA ENDOSCÓPICA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR
HIPERTROFIA PROSTÁTICA - TRATAMENTO POR DILATAÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
PROSTATAVESICULECTOMIA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
PROSTATAVESICULECTOMIA RADICAL LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
PROSTATECTOMIA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
RESSECÇÃO ENDOSCÓPICA DA PRÓSTATA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,MASCULINO
BIÓPSIA ESCROTAL,,,,AMB,HCO,HSO,REF,,,ESCROTO,MASCULINO
DRENAGEM DE ABSCESSO,,,,AMB,HCO,HSO,REF,,,ESCROTO,MASCULINO
ELEFANTÍASE PENO-ESCROTAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ESCROTO,MASCULINO
EXÉRESE DE CISTO ESCROTAL,,,,AMB,HCO,HSO,REF,,,ESCROTO,MASCULINO
RECONSTRUÇÃO DA BOLSA ESCROTAL COM RETALHO INGUINAL PEDICULADO,,,,,HCO,HSO,REF,,,ESCROTO,SISTEMA GENITAL E REPRODUTOR
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
RESSECÇÃO DA BOLSA ESCROTAL,,,,,HCO,HSO,REF,,,ESCROTO,MASCULINO
AUTOTRANSPLANTE DE UM TESTÍCULO,,,,,HCO,HSO,REF,,,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR
BIÓPSIA DE TESTÍCULO,,,,AMB,HCO,HSO,REF,,,TESTÍCULO,MASCULINO
ESCROTO AGUDO - EXPLORAÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR
HIDROCELE - CORREÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,TESTÍCULO,MASCULINO
IMPLANTE DE PRÓTESE TESTICULAR,,,,,HCO,HSO,REF,,,TESTÍCULO,MASCULINO
ORQUIDOPEXIA,,,,,HCO,HSO,REF,,,TESTÍCULO,MASCULINO
